sample_index,sample_id,mode,modalities,pattern,target_missing_rate,actual_missing_rate,gap_count,segments_json
0,-UacrmKiTn4$_$7,clean,,clean,0.0,0.0,0,[]
1,-qDkUB0GgYY$_$5,clean,,clean,0.0,0.0,0,[]
2,0utROiKxejc$_$1,A+V,audio+vision,long_block,0.30998232509750506,0.3333333333333333,1,"[[3, 8]]"
3,0utROiKxejc$_$4,V,vision,multi_gap,0.4081026631923775,0.17142857142857143,4,"[[8, 10], [21, 21], [24, 24], [29, 29]]"
4,0y022OlZ3W0$_$3,A+V,audio+vision,multi_gap,0.5018432278947612,0.21052631578947367,4,"[[0, 0], [4, 4], [7, 7], [11, 11]]"
5,0y022OlZ3W0$_$5,A,audio,long_block,0.3199687253532439,0.3333333333333333,1,"[[2, 9]]"
6,0y022OlZ3W0$_$8,clean,,clean,0.0,0.0,0,[]
7,101787$_$11,A+V,audio+vision,multi_gap,0.32614046365856453,0.17647058823529413,4,"[[3, 4], [7, 7], [24, 25], [30, 30]]"
8,101787$_$13,A+V,audio+vision,multi_gap,0.36367689122766067,0.38095238095238093,4,"[[2, 2], [5, 6], [14, 14], [16, 19]]"
9,101787$_$1,A+V,audio+vision,long_block,0.10442250184352965,0.1111111111111111,1,"[[16, 17]]"
10,101787$_$5,A,audio,multi_gap,0.08602323978323063,0.10526315789473684,1,"[[4, 5]]"
11,101787$_$7,A,audio,multi_gap,0.3380162039266247,0.3,3,"[[1, 1], [3, 3], [7, 7]]"
12,101787$_$9,A,audio,multi_gap,0.273660145845519,0.19047619047619047,4,"[[1, 1], [10, 10], [11, 11], [14, 14]]"
13,102408$_$2,A+V,audio+vision,multi_gap,0.26679819157421486,0.2222222222222222,2,"[[4, 4], [8, 8]]"
14,102408$_$5,A+V,audio+vision,multi_gap,0.4219991937961821,0.16129032258064516,4,"[[0, 0], [3, 3], [15, 16], [20, 20]]"
15,102408$_$9,A+V,audio+vision,multi_gap,0.45934732495705416,0.25806451612903225,4,"[[9, 9], [11, 12], [16, 18], [23, 24]]"
16,102858$_$20,A+V,audio+vision,multi_gap,0.42488199200540255,0.23076923076923078,4,"[[7, 7], [14, 16], [19, 19], [22, 22]]"
17,102858$_$21,A,audio,multi_gap,0.35129893139536306,0.13793103448275862,4,"[[1, 1], [3, 3], [7, 7], [21, 21]]"
18,102858$_$1,V,vision,multi_gap,0.0627342975817133,0.08333333333333333,2,"[[7, 7], [8, 8]]"
19,102858$_$0,clean,,clean,0.0,0.0,0,[]
20,102858$_$4,A,audio,multi_gap,0.4954594526511983,0.08,4,"[[9, 9], [20, 20], [21, 21], [32, 32]]"
21,102858$_$6,clean,,clean,0.0,0.0,0,[]
22,102858$_$10,V,vision,multi_gap,0.1871218890198878,0.16666666666666666,2,"[[0, 0], [1, 1]]"
23,102858$_$17,A+V,audio+vision,multi_gap,0.3105119684910836,0.2727272727272727,3,"[[0, 0], [7, 7], [8, 8]]"
24,102858$_$19,A+V,audio+vision,multi_gap,0.276428519846428,0.2857142857142857,4,"[[2, 2], [4, 4], [5, 5], [13, 13]]"
